type,target,distractors,color,shape,index
Capacity,1_1,23_2_1,2,1,1
Capacity,1_1,23_3_1,3,1,2
Capacity,1_1,23_4_1,4,1,3
Capacity,2_1,23_1_1,1,1,4
Capacity,2_1,23_3_1,3,1,5
Capacity,2_1,23_4_1,4,1,6
Capacity,3_1,23_1_1,1,1,7
Capacity,3_1,23_2_1,2,1,8
Capacity,3_1,23_4_1,4,1,9
Capacity,4_1,23_1_1,1,1,10
Capacity,4_1,23_2_1,2,1,11
Capacity,4_1,23_3_1,3,1,12
Capacity,ABS,24_2_1,2,1,13
Capacity,ABS,24_3_1,3,1,14
Capacity,ABS,24_4_1,4,1,15
Capacity,ABS,24_1_1,1,1,16
Capacity,ABS,24_3_1,3,1,17
Capacity,ABS,24_4_1,4,1,18
Capacity,ABS,24_1_1,1,1,19
Capacity,ABS,24_2_1,2,1,20
Capacity,ABS,24_4_1,4,1,21
Capacity,ABS,24_1_1,1,1,22
Capacity,ABS,24_2_1,2,1,23
Capacity,ABS,24_3_1,3,1,24
